year,actor,movie,winner,ethnicity
1979,Peter Sellers,Being There,True,"['Sephardi', 'Jewish', 'Ashkenazi', 'Jewish']"
1979,George Hamilton,Love at First Bite,False,[]
1979,Dudley Moore,10,False,"['English', 'Welsh']"
1979,Burt Reynolds,Starting Over,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
1979,Roy Scheider,All That Jazz,False,"['German', 'Irish']"
1980,Ray Sharkey,The Idolmaker,True,[]
1980,Neil Diamond,The Jazz Singer,False,"['Ashkenazi', 'Jewish']"
1980,Tommy Lee Jones,Coal Miner's Daughter,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Dutch']"
1980,Paul Le Mat,Melvin and Howard,False,[]
1980,Walter Matthau,Hopscotch,False,"['Ashkenazi', 'Jewish']"
1981,Dudley Moore,Arthur,True,"['English', 'Welsh']"
1981,Alan Alda,The Four Seasons,False,['Irish']
1981,George Hamilton,"Zorro, The Gay Blade",False,[]
1981,Steve Martin,Pennies from Heaven,False,"['English', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'German', 'French', 'Welsh']"
1981,Walter Matthau,First Monday in October,False,"['Ashkenazi', 'Jewish']"
1982,Dustin Hoffman,Tootsie,True,"['Ashkenazi', 'Jewish']"
1982,Peter O'Toole,My Favorite Year,False,"['Irish', 'Scottish']"
1982,Al Pacino,Author! Author!,False,"['Italian', 'Sicilian', 'Neapolitan']"
1982,Robert Preston,Victor Victoria,False,[]
1982,Henry Winkler,Night Shift,False,"['Ashkenazi', 'Jewish']"
1983,Michael Caine,Educating Rita,True,"['English', 'Irish']"
1983,Woody Allen,Zelig,False,"['Ashkenazi', 'Jewish']"
1983,Tom Cruise,Risky Business,False,"['German4375', 'Irish125', 'English', 'Welsh']"
1983,Eddie Murphy,Trading Places,False,['AfricanAmerican']
1983,Mandy Patinkin,Yentl,False,"['Ashkenazi', 'Jewish']"
1984,Dudley Moore,Micki & Maude,True,"['English', 'Welsh']"
1984,Steve Martin,All of Me,False,"['English', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'German', 'French', 'Welsh']"
1984,Eddie Murphy,Beverly Hills Cop,False,['AfricanAmerican']
1984,Bill Murray,Ghostbusters,False,['Irish']
1984,Robin Williams,Moscow on the Hudson,False,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1985,Jack Nicholson,Prizzi's Honor,True,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1985,Jeff Daniels,The Purple Rose of Cairo,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German']"
1985,Griffin Dunne,After Hours,False,"['Irish', 'Irish', 'English', 'German', 'Mexican', 'Swedish']"
1985,Michael J. Fox,Back to the Future,False,"['Irish', 'English', 'Scottish']"
1985,James Garner,Murphy's Romance,False,"['English', 'Irish', 'German', 'Welsh', 'SwissGerman']"
1986,Paul Hogan,Crocodile Dundee,True,[]
1986,Matthew Broderick,Ferris Bueller's Day Off,False,"['English', 'Ashkenazi', 'Jewish']"
1986,Jeff Daniels,Something Wild,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German']"
1986,Danny DeVito,Ruthless People,False,['Italian']
1986,Jack Lemmon,That's Life!,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1987,Robin Williams,"Good Morning, Vietnam",True,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1987,Nicolas Cage,Moonstruck,False,"['Italian25', 'Polish1875', 'German625', 'British', 'Isles', 'English', 'Scottish']"
1987,Danny DeVito,Throw Momma from the Train,False,['Italian']
1987,William Hurt,Broadcast News,False,"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Swedish']"
1987,Steve Martin,Roxanne,False,"['English', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'German', 'French', 'Welsh']"
1987,Patrick Swayze,Dirty Dancing,False,"['English', 'Irish', 'Scottish', 'Dutch']"
1988,Tom Hanks,Big,True,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
1988,Michael Caine,Dirty Rotten Scoundrels,False,"['English', 'Irish']"
1988,John Cleese,A Fish Called Wanda,False,['English']
1988,Robert De Niro,Midnight Run,False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1988,Bob Hoskins,Who Framed Roger Rabbit,False,"['English', 'Romani']"
1989,Morgan Freeman,Driving Miss Daisy,True,"['AfricanAmerican', 'English']"
1989,Billy Crystal,When Harry Met Sally...,False,"['Ashkenazi', 'Jewish']"
1989,Michael Douglas,The War of the Roses,False,"['Ashkenazi', 'Jewish', 'English', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'Belgian', 'French']"
1989,Steve Martin,Parenthood,False,"['English', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'German', 'French', 'Welsh']"
1989,Jack Nicholson,Batman,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1990,Gérard Depardieu,Green Card,True,[]
1990,Macaulay Culkin,Home Alone,False,"['German', 'English', 'SwissGerman25', 'Norwegian125', 'Irish625', 'SwissFrench']"
1990,Johnny Depp,Edward Scissorhands,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
1990,Richard Gere,Pretty Woman,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'German', 'French']"
1990,Patrick Swayze,Ghost,False,"['English', 'Irish', 'Scottish', 'Dutch']"
1991,Robin Williams,The Fisher King,True,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1991,Jeff Bridges,The Fisher King,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
1991,Billy Crystal,City Slickers,False,"['Ashkenazi', 'Jewish']"
1991,Dustin Hoffman,Hook,False,"['Ashkenazi', 'Jewish']"
1991,Kevin Kline,Soapdish,False,"['Jewish', 'Irish']"
1992,Tim Robbins,The Player,True,"['English', 'Norwegian', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'FrenchFrenchCanadian', 'Dutch']"
1992,Nicolas Cage,Honeymoon in Vegas,False,"['Italian25', 'Polish1875', 'German625', 'British', 'Isles', 'English', 'Scottish']"
1992,Billy Crystal,Mr. Saturday Night,False,"['Ashkenazi', 'Jewish']"
1992,Marcello Mastroianni,Used People,False,['Italian']
1992,Tim Robbins,Bob Roberts,False,"['English', 'Norwegian', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'FrenchFrenchCanadian', 'Dutch']"
1993,Robin Williams,Mrs. Doubtfire,True,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1993,Johnny Depp,Benny & Joon,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
1993,Tom Hanks,Sleepless in Seattle,False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
1993,Kevin Kline,Dave,False,"['Jewish', 'Irish']"
1993,Colm Meaney,The Snapper,False,['Irish']
1994,Hugh Grant,Four Weddings and a Funeral,True,"['Scottish', 'English', 'Irish', 'Welsh', 'Cornish', 'Dutch', 'AfrikanerFrenchBelgian', 'Walloon']"
1994,Jim Carrey,The Mask,False,"['FrenchCanadian', 'English', 'Scottish', 'Irish']"
