Peter Ibbetson,"['Gary Cooper', ' Ann Harding', ' Ida Lupino']"
Powdersmoke Range,"['Harry Carey', ' Hoot Gibson']"
Princess O'Hara,"['Jean Parker', ' Chester Morris', ' Ralph Remley']"
Private Worlds,"['Claudette Colbert', ' Joel McCrea', ' Charles Boyer']"
Professional Soldier,"['Victor McLaglen', ' Freddie Bartholomew', ' Gloria Stuart']"
Public Hero No. 1,"['Jean Arthur', ' Lionel Barrymore', ' Joseph Calleia']"
The Public Menace,"['Jean Arthur', ' George Murphy']"
Public Opinion,"['Lois Wilson', ' Shirley Grey']"
Pursuit,"['Chester Morris', ' Sally Eilers']"
Racing Luck,"['William Boyd', ' Barbara Worth']"
Rainbow's End,"['Hoot Gibson', ' Oscar Apfel', ' June Gale']"
Rainbow Valley,"['John Wayne', ' Lucile Browne']"
The Rainmakers,"['Bert Wheeler', ' Robert Woolsey', ' Dorothy Lee']"
The Raven,"['Bela Lugosi', ' Boris Karloff', ' Irene Ware']"
Reckless,"['Jean Harlow', ' William Powell', ' Rosalind Russell']"
Reckless Roads,"['Judith Allen', ' Regis Toomey']"
The Red Blood of Courage,"['Kermit Maynard', ' Ann Sheridan']"
Red Hot Tires,"['Lyle Talbot', ' Mary Astor']"
Red Salute,"['Barbara Stanwyck', ' Robert Young', ' Purnell Pratt']"
Redheads on Parade,"['John Boles', ' Dixie Lee']"
Remember Last Night?,"['Constance Cummings', ' Robert Young', ' Edward Arnold']"
Rendezvous,"['William Powell', ' Rosalind Russell', ' Cesar Romero']"
Rendezvous at Midnight,"['Ralph Bellamy', ' Valerie Hobson']"
Rescue Squad,"['Ralph Forbes', ' Verna Hillie']"
The Return of Peter Grimm,"['Lionel Barrymore', ' Helen Mack', ' Edward Ellis', ' Donald Meek']"
The Revenge Rider,"['Tim McCoy', ' Billie Seward']"
Riding Wild,"['Tim McCoy', ' Billie Seward']"
Rio Rattler,"['Tom Tyler', ' Marion Shilling']"
The Right to Live,"['Josephine Hutchinson', ' George Brent', ' Peggy Wood']"
Roberta,"['Irene Dunne', ' Fred Astaire', ' Ginger Rogers']"
Rocky Mountain Mystery,"['Randolph Scott', ' Ann Sheridan']"
Romance in Manhattan,"['Ginger Rogers', ' Francis Lederer', ' Jimmy Butler']"
Rough Riding Ranger,"['Rex Lease', ' Bobby Nelson', ' Janet Chandler']"
Ruggles of Red Gap,"['Charles Laughton', ' Roland Young', ' ZaSu Pitts']"
Rumba,"['George Raft', ' Carole Lombard', ' Gail Patrick']"
Rustler's Paradise,"['Harry Carey', ' Slim Whitaker', ' Carmen Bailey']"
The Sagebrush Troubadour,"['Gene Autry', ' Barbara Pepper']"
The Scoundrel,"['Noël Coward', ' Martha Sleeper', ' Alexander Woollcott']"
Seven Keys to Baldpate,"['Gene Raymond', ' Eric Blore']"
Shadow of Doubt,"['Ricardo Cortez', ' Virginia Bruce']"
